,project_code,standardized_text,Target_Vector,Predicted_Vector
10,2011.0.00396.S,using the first inteferometer h d observations to constrain clustered star forming core structure given that most stars in our galaxy form in clusters understanding the process of clustered star formation has become a key goal of star formation astronomy as a dense core collapses however the density progression and accompanying temperature changes result in well documented molecular abundance variations the consequences of this chemical evolution are twofold first we must select molecular tracers carefully for the conditions we are probing and second we can use detailed modeling of the structure chemistry and kinematics of dense cores to determine their evolutionary history and predict their future the molecular ion h d is likely the best kinematic probe of the dense core gas most actively forming stars here we propose to use the unprecedented sensitivity and resolution of to probe the kinematics and chemistry of two evolved star forming cores using h d and n h to determine observationally for the first time the h d and n h abundance structure across dense cores on scales of au through detailed modeling these data will provide much needed constraints to dynamic chemical models of core collapse in clustered environments,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.004519604612141848, 0.4825383126735687, 0.05608675256371498, 0.01765369437634945, 0.2109609693288803, 0.17658214271068573, 0.029729129746556282, 0.01606188528239727, 0.005867477506399155]"
11,2011.0.00399.S,high resolution spatial kinematic structures of the tw hya disk recent studies have suggested that the magnetized protoplanetary disks can have non keplerian kinematics in order to examine the theoretical prediction we propose to observe the spatial and kinematic structures of the protoplanetary disk of the bright nearby ctts tw hya the proposed observations with extended configuration on optically thick co transition line will delineate the motion of the disk surface which is most seriously influenced by the magnetic fields of the disk we hope to obtain the most sensitive and detailed map available to date to help constrain the disk model and improve our understanding of disk kinematics in the context of planet formation,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0041997674852609634, 0.02097400091588497, 0.010502914898097515, 0.01217591017484665, 0.5636011958122253, 0.36071711778640747, 0.010654794983565807, 0.011105090379714966, 0.006069227587431669]"
12,2011.0.00419.S,first images of a protoplanetary disk around a very massive protostar one of the most important questions in the field of star formation is to test if very massive stars i e stars that will become o type stars form by accretion from circumstellar disks as it is the case for low mass stars or if other phenomena are at work iras is the most massive protostar found associated with collimated jets with atca and the vla and a rotating molecular structure with the sma that probably will reveal with higher angular observations as a disk we propose to undertake observations of several tracers of dense gas that will test critically the presence of an accretion disk around this source in particular we may provide the first evidence of a keplerian signature inner parts rotating faster than the outer parts in a disk associated with a massive forming star the confirmation of an accretion disk around a massive forming star will not only prove that they form by an analogous mechanism than solar type stars but it will open the possibility of studying the physical conditions of these disks and to address questions such as if they can form not only planets but brown dwarfs and even stars as part of the project we will also search for recombination lines from the powerful thermal jet associated with this source,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0029117946978658438, 0.048037175089120865, 0.01009300071746111, 0.008246482349932194, 0.6183844804763794, 0.2917740046977997, 0.008087698370218277, 0.00784468837082386, 0.004620702937245369]"
13,2011.0.00467.S,dense gas and starburst agn activities in the late stage ir bright merger vv numerical simulations have demonstrated the importance of galaxy collisions and mergers in triggering massive bursts of star formation in the host galaxies recent high resolution simulations that include an improved treatment of the multi phase ism have shown that star formation not only increases as the galaxies first collide but it also persists at a higher rate throughout the merger process peaking at the final coalescence an observational test of gas response requires mapping both the diffuse and dense gas tracers in merging u lirgs at high spatial resolution here we propose cycle observations to obtain pc resolution maps of a gas rich late stage merger vv in hcn hco co co co and co lines the relative proximity deg declination and the rich array of multi wavelength hst spitzer chandra vla complementary data make vv a particularly good target for the cycle investigation by analyzing the new data with times higher angular resolution and times improved sensitivity over the existing data we aim to map the distribution and kinematics of dense molecular gas and the dense gas mass fraction and interpret the dense gas properties and their relation to star formation and agn activities in the context of the merger induced response of the ism in the progenitor disks these new observations will allow us to characterize the gas properties of this galaxy pair that is known to harbor an agn and have extended starbursts across the galaxy pair likely evolving to a ulirg in the future,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0.0035817280877381563, 0.5389252305030823, 0.04186181351542473, 0.012903120368719101, 0.2763291001319885, 0.09529542177915573, 0.015507292002439499, 0.010994812473654747, 0.0046015214174985886]"
14,2011.0.00471.S, doradus dense gas in the nearest super star cluster v doradus is the nearest super star cluster and an ideal laboratory in which to study the effects of vigorous star formation on molecular gas in galaxies we propose to image the northern molecular cloud in doradus showcasing the unprecedented power of even in early science to understand detailed physical conditions in extragalactic multiphase interstellar media we will image the entire cloud in the most commonly used extragalactic dense gas tracers including hcn hco and cs and isotopologues measure the density mass and gravitational support of dense starless and starforming cores we will image most of the cloud in and co and other tracers of the warm interclump medium of this starburst photodissociation region pdr resolving the pdr structure in combination with our spitzer and herschel data and radio recombination line images obtained simultaneously with the molecular emission we will model the physical conditions and amount of dark molecular hydrogen in a real starburst pdr at reduced metallicity for the first time finally we will image a small region in high excitation lines including co that are particularly sensitive to conditions in the hot dense clumps of pdrs detailed analysis of the molecular environment of the nearest reduced metallicity starburst will inform the interpretation of many observations revealing the true nature of the gas emitting brightly in these lines in more distant galaxies,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0.0034848442301154137, 0.272572785615921, 0.025528501719236374, 0.01191277801990509, 0.3916532099246979, 0.2615973949432373, 0.019145987927913666, 0.010165048763155937, 0.00393938273191452]"
15,2011.0.00474.S,where do massive stars get their mass from massive stars are most likely forming at the centre of parsec scale converging accreting filaments mhd simulations predict that the gas along these filaments can show velocity differences of few km s according to the direction of these filaments with respect to the cloud sdc is a unique massive star forming infrared dark cloud irdc it shows pristine dark filamentary structures converging towards two of the most luminous protostars known in the galaxy low resolution molecular line studies of sdc suggest that this cloud is globally collapsing and that the dark filaments might be accreting in a similar way as in the simulations however only high resolution observations of the velocity field can confirm such speculations we therefore propose to observe sdc with es at mm in the compact configuration in order to get the systemic gas velocity along the set of filaments which are observed in this irdc we expect to measure velocity differences of a couple of km s between the different filaments this would strongly support the dynamical picture of massive star formation,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.003517379518598318, 0.5330100655555725, 0.023865507915616035, 0.008583011105656624, 0.3288167715072632, 0.07997588068246841, 0.009713654406368732, 0.007909531705081463, 0.00460817152634263]"
16,2011.0.00525.S,imaging the most luminous galaxy within z we propose high resolution imaging of molecular gas in the most luminous galaxy within z our main targets in the merger ngc d mpc lbol e lsun are the double nuclei with a kpc separation and the km s wide high velocity gas in the central region which we have previously found and attributed to a massive molecular outflow we will assess the dynamical and physical properties of the molecular gas in the merger to uncover the interplay between molecular gas and the high luminosity starburst a key process in the merger induced galaxy evolution our cycle observations of this nearby luminous infrared galaxy lirg will also serve as a pilot study for full observations of more distant lirgs z since the linear resolution and mass sensitivity will be comparable,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]","[0.0030599511228501797, 0.5634737014770508, 0.048839814960956573, 0.010343777015805244, 0.2586280405521393, 0.0853782445192337, 0.017947180196642876, 0.008329268544912338, 0.00400009099394083]"
17,2011.0.00619.S,identification of the keplerian rotating disk around the protobinary system of l ne we propose to make an cycle observation of l ne in the c o co cs and the hc o lines at band with the extended configuration l ne is one of the archetypal class i binary protostellar systems with two radio continuum sources at a projected separation of au source a at the south east and source b at the north west our recent sma observations of l ne in the c o line have found a au scale elongated feature along north west to south east approximately centered on source a the circumbinary feature shows a clear velocity gradient along the major axis and our simple model fitting to the observed c o image cube suggests a possibilty that the circumbinary feature is a keplerian rotating disk centered on source a with the central mass of m inclination angle of deg and the position angle of deg the rotation power law index is however not well constrained with the sma data and it is still possible that the rotation is non keplerian the higher resolution higher sensitivity observation will be able to unambigously assess the presence or absence of the keplerian motion in the circumbinary disk once we confirm the presence of the keplerian rotating circimbinary disk we can directly measure both the mass of the protobinary system and the mass ratio which can put stringent constraints on the theories of binary star formation we believe that the present first observation to identify the keplerian circumbinary disk around one of the prototypical binary protostars is a solid kick off to approach binary formation with,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.005058672744780779, 0.05460120365023613, 0.015329932793974876, 0.007452564779669046, 0.5283893346786499, 0.35765203833580017, 0.01467067375779152, 0.01258122082799673, 0.004264405928552151]"
18,2011.0.00645.S,winds of change probing the nuclear activity and outflow of the fir excess galaxy ngc v offers a unique opportunity to probe the nature of fir excess galaxies where the ir emission is powered by dust embedded starbursts and or agn activity the molecular outflow and dusty core of the extreme fir excess synchrotron deficient galaxy ngc presents an opportunity to study this important phenomenon we propose extended array co observations to image the molecular outflow to determine its age and address the nature of the dust enshrouded nuclear activity an extremely young myr starburst or a super eddington accreting black hole we furthermore propose co and micron continuum observations also in extended to study the buried central source on scales of pc we expect intense k emission from the very nuclear region probing the dynamics of the inner disk the enclosed mass and the gas heating energy budget the continuum will constrain the ir surface luminosity and dust mass this proposed study will allow us to uniquely probe the very earliest phases of nuclear activity the onset of black hole accretion or the pre synchrotron beginnings of a starburst,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0050372169353067875, 0.30805739760398865, 0.06381873041391373, 0.02097729779779911, 0.2742322087287903, 0.25559139251708984, 0.05013261362910271, 0.015223057940602303, 0.006930065341293812]"
19,2011.0.00648.S,molecular gas dust and gas metallicity in star forming galaxies at z we propose co and dust thermal continuum emission from star forming galaxies at z the sample contains star forming galaxies extracted originally from our stellar mass limit sample from usual spectral energy distribution analysis stellar masses and star formation rates sfrs of these galaxies are obtained subsequent near infrared spectroscopy enabled us to derive gas metallicity from halpha and nii emission lines and extinction corrected halpha luminosity for the targets with this unique sample we will investigate whether the molecular gas mass and the dust mass as well as co to h conversion factor at the redshift show some trend against gas metallicity rather than stellar mass sfr etc since there is a possibility that co luminosity at a given molecular gas depend on the gas metallicity and dust mass is also expected to be dependent on metallicity studies of star forming galaxies covering a certain range of metallicity stellar mass and sfr is inevitable to push further high z co dust observations in general furthermore since gas inflow outflow also affects gas metallicity evolution we will be able to constrain a process of galaxy evolution from the metallicity and the gas mass fraction the results obtained in this proposal are expected to give us a good compass to navigate future high z observations with thus the program would be suitable to be conducted in cycle phase,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.004370520822703838, 0.5687471032142639, 0.07261666655540466, 0.016451098024845123, 0.2084641456604004, 0.09089555591344833, 0.022805003449320793, 0.01142728142440319, 0.004222617018967867]"
20,2011.0.00656.S,deuterium fractionation in the irdc clump g mm we propose to observe the hn c dnc n h and n d j lines toward the infrared dark cloud irdc clump g mm to examine our idea of extracting the initial condition of high mass star formation from the deuterium fractionation ratios observed in the star forming clump from our previous single dish observation hpbw the dnc hnc ratio of high mass sources is found to be systematically lower than that of the low mass sources taking the time dependence of the deuterium fractionation into account the low dnc hnc ratio does not reflect the current temperature but it may suggest that the cold starless phase is shorter than that of the low mass cores or that the initial temperature is higher however we need to evaluate the dnc hnc ratio at a higher angular resolution with for a fair comparison with the ratio in low mass cores under the similar physical size scale considering that high mass sources are more distant than low mass sources for this purpose we select g mm which has the lowest dnc hnc ratio in the sample of our previous single dish observation by higher angular resolution observations with we will investigate the deuterium fractionation ratio in the innermost part of the clump which is directly related to the star formation if we confirm the low dnc hnc ratio in the innermost part of the clump we can state that the initial conditions are different between low mass and high mass star formations furthermore we wish to investigate how the star formation activities affect the deuterium fractionations by comparing the distribution of dnc hnc ratio with those of the n d n h ratio and the shocked gas tracers like sio and ch oh,"[0.0, 0.0, 0.0, 0.0, 0.6363636363636364, 0.36363636363636365, 0.0, 0.0, 0.0]","[0.015006719157099724, 0.2983948886394501, 0.06332359462976456, 0.06381317228078842, 0.20553629100322723, 0.24115177989006042, 0.057818152010440826, 0.04601927846670151, 0.008936104364693165]"
21,2011.0.00727.S,mapping the nitrile chemistry and dynamics of titan s thermosphere the cassini space mission has shown that titan s atmosphere is a complex system involving strong interactions between chemistry and dynamics titan s stratosphere and lower mesosphere km is currently explored in details by cassini cirs at the top of the atmosphere the thermosphere km is currently explored by cassini inms but with a scarce sampling in latitude altitude and local time in between titan s mesosphere lower thermosphere region from to km remains largely unexplored by cassini the main goals of this proposal are i to map the hnc and hcn lines in the upper atmosphere km in order to constrain the chemistry temperature and dynamics in this poorly known region ii to take benefits of the large bandwidth of to simultaneously map other nitriles hc n and ch cn and search for an as yet undiscovered nitrile dcn,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.006475728005170822, 0.17128337919712067, 0.05745216831564903, 0.032711900770664215, 0.30350807309150696, 0.362505167722702, 0.03603411093354225, 0.022580202668905258, 0.007449289318174124]"
22,2011.0.00750.S,the largest circumstellar disk birth of a high mass star through accretion in we discovered a au symmetric dark silhouette with a stellar source in its center and a bipolar outflow perpendicular to the triangular absorption pattern in a region of high mass star formation co data from pdbi indicate that the object is rotating optical and infrared spectroscopy of the central object yielded a wealth of emission lines with shapes typical for accreting ysos since then there is the debate whether this is the first case where the formation of a high mass star via disk accretion is directly observed in analogy to the scenario for low mass stars unfortunately there are two missing links to solve this puzzle the kinematics and the mass of the putative disk we propose to solve the puzzle by studying some characteristic lines and the continuum of the disk the observations will unambiguously provide the rotation curve of the disk like silhouette and its mass the data will answer the long standing questions whether the disk mass is gravitationally bound to the central object and whether it is sufficiently large to create a high mass star this largest circumstellar disk is a must for cycle of the largest interferometer,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.003235683310776949, 0.030360423028469086, 0.011706776916980743, 0.007911530323326588, 0.580444872379303, 0.34019890427589417, 0.010434704832732677, 0.009809249080717564, 0.00589786795899272]"
23,2011.0.00779.S,characterizing io s atmospheric composition and circulation v jupiter s moon io is the most volcanically active body in the solar system and has a very thin and spatially variable atmosphere mainly composed of so the goal of this proposal is to adress several aspects of the atmosphere that are not well characterized the nature and abundance of the minor species the replenishment sources for so and so and the atmospheric circulation wind to bring unprecedented constraints on these questions we propose to observe a rich portion of band with the extended configuration and a fine spectral resolution the excellent available sensitivity will allow to search for expected yet undetected volcanic species such as kcl s o sio and co for which the abundance measurement will put strong constraints on the volcanic regimes simultaneously the strong lines of main species so and so will be mapped with an improved spatial resolution with the objective to relate their spatial distribution to their possible respective replenishment mechanisms finally we will measure doppler shifts on the strongest line to retrieve the best observation of the atmospheric wind field io s atmosphere circulation has only been observed once so far and the proposed observations are expected to provide a radical improvement on the wind measurement,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.008212890475988388, 0.13061212003231049, 0.05765938758850098, 0.046500325202941895, 0.27721965312957764, 0.40704962611198425, 0.03573354333639145, 0.024846168234944344, 0.0121663399040699]"
24,2011.0.00964.S,clustered massive galaxy formation around a z submillimeter galaxy cosmological simulations suggest that massive galaxies at present day form in the densest regions in the early universe predicting the existence of massive protoclusters of intensely star forming galaxies as their progenitors at high redshift we have recently identified such a unique region within billion years of the big bang hosting an extreme starburst galaxy the most distant submillimeter galaxy smg identified to date forming stars at msun yr and at least twelve normal star forming galaxies lbgs the bulk are spectroscopically confirmed and have orders of magnitude lower sfrs than smgs within a narrow redshift interval of only dz this most distant protocluster region known is a smoking gun for early massive galaxy formation through hierarchical buildup giving key importance to understanding the physical properties of its member galaxies and the three dimensional structure of the region in great detail this proposal aims to add an essential missing piece to our comprehensive dataset on this proto cluster by mapping out its core region in cii and rest frame far infrared continuum emission using the early science array this will critically constrain the neutral interstellar medium ism content excitation distribution and kinematics of the central six lbgs which including the smg are situated within a single primary beam fwhm constituting the fuel for their star formation and dust obscured star formation rates this will also yield unprecedented constraints on the star formation law at z and will enable the first direct ism studies of lbgs at z the cii measurements will give an order of magnitude more precise redshifts substantially constraining the d structure of the protocluster,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.00451307138428092, 0.2849524915218353, 0.04300009086728096, 0.011031527072191238, 0.46903330087661743, 0.13633719086647034, 0.032340388745069504, 0.01313748862594366, 0.005654465407133102]"
